path	phase	ledger_mode	disposition	evidence	next_action
dlls/dwrite/freetype.c	5	candidate	PROFILED_NO_SAFE_CANDIDATE	diff-996020f; startup-only relocatable FreeType fallback; docs/validation/optimization-candidate-review-20260803/RESULTS.md	No hot pure leaf in the custom startup/diagnostic fallback; reopen only with a dedicated workload profile
dlls/msvcrt/locale.c	6	candidate	PROFILED_NO_SAFE_CANDIDATE	diff-996020f; ARM64EC diagnostic-only log; docs/validation/optimization-candidate-review-20260803/RESULTS.md	No hot pure leaf in the custom startup/diagnostic fallback; reopen only with a dedicated workload profile
dlls/ntdll/heap.c	2	candidate	PROFILED_NO_PROMOTION	docs/validation/optimization-heap-index-20260803/RESULTS.md	Find a distinct allocator workload candidate
dlls/ntdll/unix/env.c	2	candidate	CANDIDATE_BLOCKED_BY_BOUNDARY	diff-996020f; WoW64 PEB/NLS pointer translation; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Profile pure environment lookup only, not guest pointer paths
dlls/ntdll/unix/file.c	2	candidate	ACCEPTED_PROMOTED_PURE_LEAF	docs/validation/optimization-file-scan-20260803/RESULTS.md; nested commit 07df604e8f4e2f475bdd9983905cf98802905ee7	Keep notification opt-in; rerun focused scan gate when changing the marker or transport
dlls/ntdll/unix/socket.c	2	candidate	CANDIDATE_BLOCKED_BY_BOUNDARY	diff-996020f; WoW64 socket buffer conversion; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Keep pointer validation manual; isolate a pure address helper if hot
dlls/ntdll/unix/system.c	2	candidate	PROFILED_NO_SAFE_CANDIDATE	diff-996020f; ARM64 sysctl feature publication; docs/validation/optimization-candidate-review-20260803/RESULTS.md	No hot pure leaf in the custom startup/diagnostic fallback; reopen only with a dedicated workload profile
dlls/win32u/freetype.c	5	candidate	PROFILED_NO_SAFE_CANDIDATE	diff-996020f; dlopen fallback and null guard; docs/validation/optimization-candidate-review-20260803/RESULTS.md	No hot pure leaf in the custom startup/diagnostic fallback; reopen only with a dedicated workload profile
dlls/win32u/sysparams.c	5	candidate	CANDIDATE_BLOCKED_BY_LOCK_PROTOCOL	diff-996020f; recursive user-lock unlock/relock API; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Do not transform lock ownership or reentrancy code
dlls/winhttp/net.c	6	candidate	CANDIDATE_BLOCKED_BY_TLS_LIFECYCLE	diff-996020f; SSPI/TLS cleanup and certificate verification; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Profile only immutable parser helpers outside secure-connect lifecycle
dlls/ws2_32/protocol.c	6	candidate	CANDIDATE_BLOCKED_BY_API_STATE	diff-996020f; NLA lookup allocation/state machine; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Keep handle state and buffer layout manual
dlls/ws2_32/socket.c	6	candidate	CANDIDATE_BLOCKED_BY_ORDERING_SEMANTICS	diff-996020f; stable IPv4/IPv6 address-list ordering; docs/validation/address-list-sort-final-canonical-20260803/RESULTS.md; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Measure Chromium Happy-Eyeballs lists before considering a stable helper
dlls/ws2_32/unixlib.c	6	candidate	CANDIDATE_BLOCKED_BY_WOW64_BOUNDARY	diff-996020f; guest pointer and addrinfo conversion; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Keep guest-size validation and pointer publication manual
dlls/xtajit64/cpu.c	4	candidate	CANDIDATE_BLOCKED_BY_FEX_BOUNDARY	diff-996020f; invalidation, process/thread, and feature callbacks; docs/validation/optimization-candidate-review-20260803/RESULTS.md	Only isolate a measured non-callback leaf
dlls/xtajit64/vkmt/interp.c	4	candidate	PROFILED_NO_PROMOTION	docs/validation/optimization-fex-mask-20260803/RESULTS.md	Profile instruction-mix-specific helpers with FEX telemetry
